2023-10-09 22:12:54,841 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Configure stats pid to 23749
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Loading settings from /Users/stav.42/.config/wandb/settings
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Loading settings from /Users/stav.42/RL_Library/cartpole/ppo/wandb/settings
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cartpole/ppo/tparallel.py', 'program_abspath': '/Users/stav.42/RL_Library/cartpole/ppo/tparallel.py', 'program': '/Users/stav.42/RL_Library/cartpole/ppo/tparallel.py'}
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_init.py:_log_setup():528] Logging user logs to /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231009_221254-3f0163k0/logs/debug.log
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231009_221254-3f0163k0/logs/debug-internal.log
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_init.py:init():568] calling init triggers
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'exp_name': '09-Oct-2023', 'gym_id': 'InvertedPendulum-v4', 'learning_rate': 0.00025, 'seed': 1, 'track': True, 'wandb_project_name': 'Prototype', 'wandb_entity': None, 'num_minibatches': 32, 'num_envs': 8, 'total_timesteps': 100000, 'num_steps': 800, 'update_epochs': 10, 'description': 'Tensorboard', 'anneal_lr': True, 'batch_size': 6400, 'minibatch_size': 200}
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_init.py:init():618] starting backend
2023-10-09 22:12:54,842 INFO    MainThread:23749 [wandb_init.py:init():622] setting up manager
2023-10-09 22:12:54,844 INFO    MainThread:23749 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-10-09 22:12:54,846 INFO    MainThread:23749 [wandb_init.py:init():628] backend started and connected
2023-10-09 22:12:54,863 INFO    MainThread:23749 [wandb_init.py:init():720] updated telemetry
2023-10-09 22:12:54,901 INFO    MainThread:23749 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-09 22:12:55,887 INFO    MainThread:23749 [wandb_run.py:_on_init():2220] communicating current version
2023-10-09 22:12:56,215 INFO    MainThread:23749 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.15.12 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-10-09 22:12:56,215 INFO    MainThread:23749 [wandb_init.py:init():804] starting run threads in backend
2023-10-09 22:12:59,859 INFO    MainThread:23749 [wandb_run.py:_console_start():2199] atexit reg
2023-10-09 22:12:59,859 INFO    MainThread:23749 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-09 22:12:59,859 INFO    MainThread:23749 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-09 22:12:59,860 INFO    MainThread:23749 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-09 22:12:59,860 INFO    MainThread:23749 [wandb_init.py:init():845] run started, returning control to user process
2023-10-09 22:12:59,862 INFO    MainThread:23749 [wandb_run.py:_tensorboard_callback():1470] tensorboard callback: runs/InvertedPendulum-v4__Tensorboard__09-Oct-2023__1696869779, True
