2023-10-10 13:37:22,781 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Configure stats pid to 32759
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Loading settings from /Users/stav.42/.config/wandb/settings
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Loading settings from /Users/stav.42/RL_Library/cartpole/ppo/wandb/settings
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'cartpole/ppo/tparallel.py', 'program_abspath': '/Users/stav.42/RL_Library/cartpole/ppo/tparallel.py', 'program': '/Users/stav.42/RL_Library/cartpole/ppo/tparallel.py'}
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_init.py:_log_setup():528] Logging user logs to /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231010_133722-gwsouekw/logs/debug.log
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231010_133722-gwsouekw/logs/debug-internal.log
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_init.py:init():568] calling init triggers
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'exp_name': '10-Oct-2023', 'gym_id': 'InvertedPendulum-v4', 'learning_rate': 0.00025, 'seed': 1, 'track': True, 'wandb_project_name': 'Prototype', 'wandb_entity': None, 'num_minibatches': 32, 'num_envs': 8, 'total_timesteps': 100000, 'num_steps': 800, 'update_epochs': 3, 'description': 'wandblogging', 'anneal_lr': True, 'batch_size': 6400, 'minibatch_size': 200}
2023-10-10 13:37:22,782 INFO    MainThread:32759 [wandb_init.py:init():618] starting backend
